# .text relocations, oplus_security_guard.ko
# relocations for .text: 214 entries
# offset     type                   target
  0xb68      ADD_ABS_LO12_NC        verified_bootstate
  0xb6c      ADD_ABS_LO12_NC        .rodata+0x520
  0xb74      CALL26                 strstr
  0xb8c      ADR_PREL_PG_HI21       __stack_chk_guard
  0xb94      LDST64_ABS_LO12_NC     __stack_chk_guard
  0xbbc      ADR_PREL_PG_HI21       .rodata+0x10b
  0xbc0      ADR_PREL_PG_HI21       .rodata+0x363
  0xbc4      ADD_ABS_LO12_NC        .rodata+0x10b
  0xbc8      ADD_ABS_LO12_NC        .rodata+0x363
  0xbcc      CALL26                 printk
  0xbd0      ADR_PREL_PG_HI21       .rodata+0x55d
